path	bytes	sample_rate	bits	channels	seconds
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-24.wav	311761	44100	24	1	2.326
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-25.wav	335167	44100	24	1	2.502
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-26.wav	313392	44100	24	1	2.299
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-27.wav	284341	44100	24	1	2.118
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-28.wav	310934	44100	24	1	2.275
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-29.wav	288168	44100	24	1	2.111
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-30.wav	300834	44100	24	1	2.205
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-31.wav	303823	44100	24	1	2.266
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-32.wav	293761	44100	24	1	2.189
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-33.wav	299168	44100	24	1	2.187
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-34.wav	297738	44100	24	1	2.182
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-35.wav	314851	44100	24	1	2.349
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-36.wav	296689	44100	24	1	2.212
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-37.wav	297083	44100	24	1	2.209
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-38.wav	307951	44100	24	1	2.297
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-39.wav	301422	44100	24	1	2.21
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-40.wav	306300	44100	24	1	2.246
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-41.wav	298950	44100	24	1	2.191
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-42.wav	299161	44100	24	1	2.23
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-43.wav	312852	44100	24	1	2.295
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-44.wav	307980	44100	24	1	2.259
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-45.wav	314796	44100	24	1	2.303
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-46.wav	323682	44100	24	1	2.375
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-47.wav	361561	44100	24	1	2.702
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-48.wav	329250	44100	24	1	2.417
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-49.wav	308311	44100	24	1	2.299
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-50.wav	314593	44100	24	1	2.347
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-51.wav	313632	44100	24	1	2.301
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-52.wav	317342	44100	24	1	2.329
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-53.wav	325974	44100	24	1	2.386
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-54.wav	316069	44100	24	1	2.358
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-55.wav	319206	44100	24	1	2.336
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-56.wav	307272	44100	24	1	2.253
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-57.wav	336144	44100	24	1	2.468
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-58.wav	318640	44100	24	1	2.332
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-59.wav	324019	44100	24	1	2.418
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-60.wav	332850	44100	24	1	2.444
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-61.wav	329706	44100	24	1	2.42
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-62.wav	304013	44100	24	1	2.261
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-63.wav	309571	44100	24	1	2.309
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-64.wav	311400	44100	24	1	2.284
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-65.wav	306419	44100	24	1	2.279
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-66.wav	302587	44100	24	1	2.256
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-67.wav	301051	44100	24	1	2.245
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-68.wav	294234	44100	24	1	2.156
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-69.wav	305040	44100	24	1	2.237
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-70.wav	310679	44100	24	1	2.311
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-71.wav	353419	44100	24	1	2.64
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-72.wav	321973	44100	24	1	2.403
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-73.wav	305047	44100	24	1	2.275
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-74.wav	314977	44100	24	1	2.35
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-75.wav	314322	44100	24	1	2.3
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-76.wav	320743	44100	24	1	2.393
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-77.wav	305460	44100	24	1	2.24
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-78.wav	312786	44100	24	1	2.294
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-79.wav	324529	44100	24	1	2.422
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-80.wav	322524	44100	24	1	2.367
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-81.wav	309384	44100	24	1	2.269
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-82.wav	343206	44100	24	1	2.521
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-83.wav	306691	44100	24	1	2.287
Micro From Mars/WAV/MicroMoog 1/SFM-MicroMoog1-84.wav	536041	44100	24	1	4.021
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-24.wav	607237	44100	24	1	4.559
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-25.wav	614490	44100	24	1	4.54
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-26.wav	638874	44100	24	1	4.721
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-27.wav	615162	44100	24	1	4.545
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-28.wav	613213	44100	24	1	4.604
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-29.wav	600325	44100	24	1	4.507
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-30.wav	618582	44100	24	1	4.57
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-31.wav	622561	44100	24	1	4.675
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-32.wav	618625	44100	24	1	4.645
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-33.wav	632011	44100	24	1	4.746
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-34.wav	660666	44100	24	1	4.883
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-35.wav	737293	44100	24	1	5.542
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-36.wav	659143	44100	24	1	4.951
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-37.wav	628789	44100	24	1	4.722
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-38.wav	641815	44100	24	1	4.82
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-39.wav	638052	44100	24	1	4.715
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-40.wav	636241	44100	24	1	4.778
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-41.wav	664056	44100	24	1	4.909
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-42.wav	644575	44100	24	1	4.841
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-43.wav	648744	44100	24	1	4.795
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-44.wav	626796	44100	24	1	4.631
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-45.wav	687090	44100	24	1	5.08
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-46.wav	640279	44100	24	1	4.809
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-47.wav	671436	44100	24	1	4.963
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-48.wav	677562	44100	24	1	5.009
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-49.wav	661141	44100	24	1	4.966
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-50.wav	619513	44100	24	1	4.652
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-51.wav	642660	44100	24	1	4.749
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-52.wav	625705	44100	24	1	4.698
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-53.wav	624001	44100	24	1	4.686
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-54.wav	618679	44100	24	1	4.645
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-55.wav	615025	44100	24	1	4.618
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-56.wav	590653	44100	24	1	4.434
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-57.wav	622692	44100	24	1	4.601
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-58.wav	632917	44100	24	1	4.753
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-59.wav	732138	44100	24	1	5.415
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-60.wav	666408	44100	24	1	4.926
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-61.wav	632970	44100	24	1	4.677
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-62.wav	652926	44100	24	1	4.826
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-63.wav	639498	44100	24	1	4.726
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-64.wav	653539	44100	24	1	4.909
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-65.wav	623808	44100	24	1	4.609
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-66.wav	627883	44100	24	1	4.715
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-67.wav	661273	44100	24	1	4.967
