path	bytes	sample_rate	bits	channels	seconds
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-68.wav	657492	44100	24	1	4.86
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-69.wav	632538	44100	24	1	4.674
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-70.wav	688405	44100	24	1	5.172
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-71.wav	635112	44100	24	1	4.693
Micro From Mars/WAV/MicroMoog 10/SFM-MicroMoog10-72.wav	765739	44100	24	1	5.757
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-24.wav	325926	44100	24	1	2.392
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-25.wav	297259	44100	24	1	2.216
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-26.wav	297985	44100	24	1	2.221
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-27.wav	305082	44100	24	1	2.237
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-28.wav	294163	44100	24	1	2.192
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-29.wav	291330	44100	24	1	2.135
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-30.wav	285097	44100	24	1	2.124
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-31.wav	277794	44100	24	1	2.034
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-32.wav	291649	44100	24	1	2.173
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-33.wav	285913	44100	24	1	2.13
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-34.wav	282589	44100	24	1	2.105
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-35.wav	282031	44100	24	1	2.101
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-36.wav	284989	44100	24	1	2.123
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-37.wav	277525	44100	24	1	2.067
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-38.wav	265429	44100	24	1	1.975
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-39.wav	276613	44100	24	1	2.06
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-40.wav	271879	44100	24	1	2.024
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-41.wav	257785	44100	24	1	1.918
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-42.wav	390444	44100	24	1	2.872
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-43.wav	356737	44100	24	1	2.665
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-44.wav	380778	44100	24	1	2.8
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-45.wav	378480	44100	24	1	2.783
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-46.wav	384013	44100	24	1	2.872
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-47.wav	380268	44100	24	1	2.797
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-48.wav	376518	44100	24	1	2.769
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-49.wav	362491	44100	24	1	2.709
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-50.wav	354811	44100	24	1	2.651
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-51.wav	354900	44100	24	1	2.608
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-52.wav	357264	44100	24	1	2.625
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-53.wav	332395	44100	24	1	2.481
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-54.wav	391183	44100	24	1	2.926
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-55.wav	335532	44100	24	1	2.464
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-56.wav	355195	44100	24	1	2.654
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-57.wav	335724	44100	24	1	2.465
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-58.wav	374820	44100	24	1	2.756
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-59.wav	363420	44100	24	1	2.671
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-60.wav	384847	44100	24	1	2.878
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-61.wav	382314	44100	24	1	2.812
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-62.wav	367422	44100	24	1	2.701
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-63.wav	368052	44100	24	1	2.706
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-64.wav	375930	44100	24	1	2.764
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-65.wav	347580	44100	24	1	2.553
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-66.wav	347605	44100	24	1	2.596
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-67.wav	338148	44100	24	1	2.483
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-68.wav	345168	44100	24	1	2.535
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-69.wav	345150	44100	24	1	2.535
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-70.wav	321607	44100	24	1	2.4
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-71.wav	344107	44100	24	1	2.57
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-72.wav	375097	44100	24	1	2.804
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-73.wav	361980	44100	24	1	2.66
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-74.wav	344797	44100	24	1	2.575
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-75.wav	375103	44100	24	1	2.804
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-76.wav	376170	44100	24	1	2.766
Micro From Mars/WAV/MicroMoog 11/SFM-MicroMoog11-77.wav	305419	44100	24	1	2.278
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-24.wav	503515	44100	24	1	3.775
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-25.wav	407485	44100	24	1	3.049
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-26.wav	370428	44100	24	1	2.723
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-27.wav	388692	44100	24	1	2.859
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-28.wav	366301	44100	24	1	2.738
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-29.wav	362095	44100	24	1	2.706
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-30.wav	355237	44100	24	1	2.654
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-31.wav	388038	44100	24	1	2.854
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-32.wav	349225	44100	24	1	2.609
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-33.wav	363312	44100	24	1	2.67
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-34.wav	363505	44100	24	1	2.717
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-35.wav	354259	44100	24	1	2.647
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-36.wav	394158	44100	24	1	2.9
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-37.wav	364854	44100	24	1	2.682
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-38.wav	364195	44100	24	1	2.722
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-39.wav	368077	44100	24	1	2.751
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-40.wav	369480	44100	24	1	2.716
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-41.wav	383335	44100	24	1	2.867
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-42.wav	352825	44100	24	1	2.636
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-43.wav	370758	44100	24	1	2.726
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-44.wav	390720	44100	24	1	2.874
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-45.wav	384018	44100	24	1	2.824
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-46.wav	375360	44100	24	1	2.76
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-47.wav	376519	44100	24	1	2.815
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-48.wav	375876	44100	24	1	2.764
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-49.wav	363901	44100	24	1	2.72
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-50.wav	379477	44100	24	1	2.837
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-51.wav	414360	44100	24	1	3.05
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-52.wav	385933	44100	24	1	2.886
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-53.wav	389173	44100	24	1	2.911
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-54.wav	391776	44100	24	1	2.882
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-55.wav	398958	44100	24	1	2.936
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-56.wav	421704	44100	24	1	3.105
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-57.wav	391717	44100	24	1	2.93
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-58.wav	370596	44100	24	1	2.725
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-59.wav	392947	44100	24	1	2.939
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-60.wav	305317	44100	24	1	2.277
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-61.wav	358243	44100	24	1	2.677
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-62.wav	380947	44100	24	1	2.848
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-63.wav	356371	44100	24	1	2.663
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-64.wav	349657	44100	24	1	2.612
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-65.wav	372318	44100	24	1	2.737
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-66.wav	363546	44100	24	1	2.672
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-67.wav	364302	44100	24	1	2.678
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-68.wav	363073	44100	24	1	2.713
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-69.wav	357283	44100	24	1	2.67
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-70.wav	375978	44100	24	1	2.765
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-71.wav	373044	44100	24	1	2.743
Micro From Mars/WAV/MicroMoog 12/SFM-MicroMoog12-72.wav	266551	44100	24	1	1.984
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-24.wav	478368	44100	24	1	3.527
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-25.wav	484512	44100	24	1	3.572
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-26.wav	713503	44100	24	1	5.362
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-27.wav	567637	44100	24	1	4.26
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-28.wav	604932	44100	24	1	4.469
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-29.wav	581592	44100	24	1	4.295
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-30.wav	637650	44100	24	1	4.712
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-31.wav	542095	44100	24	1	4.067
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-32.wav	756252	44100	24	1	5.595
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-33.wav	697908	44100	24	1	5.161
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-34.wav	417301	44100	24	1	3.123
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-35.wav	718651	44100	24	1	5.401
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-36.wav	747246	44100	24	1	5.528
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-37.wav	606018	44100	24	1	4.477
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-38.wav	660030	44100	24	1	4.879
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-39.wav	719928	44100	24	1	5.324
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-40.wav	568015	44100	24	1	4.262
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-41.wav	671275	44100	24	1	5.043
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-42.wav	720102	44100	24	1	5.326
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-43.wav	576174	44100	24	1	4.255
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-44.wav	678709	44100	24	1	5.099
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-45.wav	692316	44100	24	1	5.119
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-46.wav	432979	44100	24	1	3.242
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-47.wav	600018	44100	24	1	4.432
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-48.wav	673447	44100	24	1	5.059
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-49.wav	661464	44100	24	1	4.889
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-50.wav	737683	44100	24	1	5.545
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-51.wav	741384	44100	24	1	5.484
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-52.wav	222097	44100	24	1	1.648
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-53.wav	487711	44100	24	1	3.655
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-54.wav	495408	44100	24	1	3.653
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-55.wav	538176	44100	24	1	3.972
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-56.wav	727495	44100	24	1	5.468
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-57.wav	714648	44100	24	1	5.285
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-58.wav	532536	44100	24	1	3.93
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-59.wav	727543	44100	24	1	5.468
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-60.wav	429858	44100	24	1	3.166
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-61.wav	229573	44100	24	1	1.704
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-62.wav	296160	44100	24	1	2.171
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-63.wav	506617	44100	24	1	3.798
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-64.wav	456432	44100	24	1	3.363
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-65.wav	507648	44100	24	1	3.745
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-66.wav	337369	44100	24	1	2.519
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-67.wav	726738	44100	24	1	5.375
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-68.wav	702618	44100	24	1	5.196
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-69.wav	743676	44100	24	1	5.501
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-70.wav	756967	44100	24	1	5.691
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-71.wav	752089	44100	24	1	5.654
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-72.wav	424158	44100	24	1	3.123
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-73.wav	709867	44100	24	1	5.335
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-74.wav	591378	44100	24	1	4.368
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-75.wav	681786	44100	24	1	5.041
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-76.wav	756906	44100	24	1	5.6
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-77.wav	497730	44100	24	1	3.671
Micro From Mars/WAV/MicroMoog 13/SFM-MicroMoog13-78.wav	319165	44100	24	1	2.381
