path	bytes	sample_rate	bits	channels	seconds
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay A 01.wav	20648	44100	24	1	0.122
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay A 02.wav	20198	44100	24	1	0.122
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay A 03.wav	19806	44100	24	1	0.122
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay A 04.wav	19884	44100	24	1	0.122
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay A 05.wav	19556	44100	24	1	0.121
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay A 06.wav	20528	44100	24	1	0.121
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay B 01.wav	43806	44100	24	1	0.297
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay B 02.wav	45068	44100	24	1	0.307
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay B 03.wav	44538	44100	24	1	0.306
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay B 04.wav	44760	44100	24	1	0.306
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay B 05.wav	44574	44100	24	1	0.306
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay B 06.wav	45974	44100	24	1	0.306
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay C 01.wav	133954	44100	24	1	0.964
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay C 02.wav	133878	44100	24	1	0.964
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay C 03.wav	134832	44100	24	1	0.974
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay C 04.wav	135522	44100	24	1	0.974
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay C 05.wav	134622	44100	24	1	0.974
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay C 06.wav	135944	44100	24	1	0.974
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay D 01.wav	253922	44100	24	1	1.849
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay D 02.wav	251994	44100	24	1	1.839
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay D 03.wav	254742	44100	24	1	1.859
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay D 04.wav	256090	44100	24	1	1.868
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay D 05.wav	255162	44100	24	1	1.858
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay D 06.wav	256230	44100	24	1	1.868
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay E 01.wav	556032	44100	24	1	4.091
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay E 02.wav	556100	44100	24	1	4.091
808 From Mars/WAV/01. Individual Hits/01. Bass Drum/Clean/Digital/A/BD A 808 Decay E 03.wav	558512	44100	24	1	4.11
