path	bytes	sample_rate	bits	channels	seconds
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_A_808_01.wav	29628	44100	24	1	0.191
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_A_808_02.wav	29878	44100	24	1	0.198
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_A_808_03.wav	25318	44100	24	1	0.17
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_A_808_04.wav	25714	44100	24	1	0.171
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_A_808_05.wav	24746	44100	24	1	0.166
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_A_808_06.wav	26710	44100	24	1	0.173
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_B_808_01.wav	60900	44100	24	1	0.43
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_B_808_02.wav	63406	44100	24	1	0.451
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_B_808_03.wav	63044	44100	24	1	0.449
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_B_808_04.wav	62458	44100	24	1	0.447
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_B_808_05.wav	64754	44100	24	1	0.463
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_B_808_06.wav	62924	44100	24	1	0.45
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_C_808_01.wav	139616	44100	24	1	1.018
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_C_808_02.wav	138324	44100	24	1	1.009
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_C_808_03.wav	146302	44100	24	1	1.069
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_C_808_04.wav	143376	44100	24	1	1.046
808 From Mars - Legacy/WAV/1. Individual Hits/01. Bass Drum/1. Clean/1. Digital/1. No Accent/BD_Clean_NoAcc_C_808_05.wav	141768	44100	24	1	1.034
