path	bytes	sample_rate	bits	channels	seconds
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#-1.wav	557311	44100	24	1	4.182
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#-1_0001.wav	551974	44100	24	1	4.141
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#-1_0002.wav	550216	44100	24	1	4.128
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#0.wav	548965	44100	24	1	4.118
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#0_0001.wav	547366	44100	24	1	4.106
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#0_0002.wav	548776	44100	24	1	4.117
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#1.wav	546622	44100	24	1	4.101
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#1_0001.wav	544231	44100	24	1	4.083
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#1_0002.wav	545443	44100	24	1	4.092
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#2.wav	543406	44100	24	1	4.076
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#2_0001.wav	544924	44100	24	1	4.088
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#2_0002.wav	541624	44100	24	1	4.063
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#3.wav	542908	44100	24	1	4.073
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#3_0001.wav	542695	44100	24	1	4.071
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#3_0002.wav	541552	44100	24	1	4.062
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#4.wav	547216	44100	24	1	4.105
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#4_0001.wav	541519	44100	24	1	4.062
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#4_0002.wav	546091	44100	24	1	4.097
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#5.wav	409924	44100	24	1	3.067
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#5_0001.wav	542290	44100	24	1	4.068
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#5_0002.wav	542077	44100	24	1	4.066
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#6.wav	45607	44100	24	1	0.314
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#6_0001.wav	542509	44100	24	1	4.07
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#6_0002.wav	543397	44100	24	1	4.076
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#7.wav	41734	44100	24	1	0.284
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#7_0001.wav	503953	44100	24	1	3.778
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A#7_0002.wav	541873	44100	24	1	4.065
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A-1.wav	552718	44100	24	1	4.147
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A-1_0001.wav	554422	44100	24	1	4.19
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A-1_0002.wav	551158	44100	24	1	4.135
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A0.wav	554302	44100	24	1	4.159
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A0_0001.wav	549418	44100	24	1	4.122
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A0_0002.wav	545404	44100	24	1	4.092
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A1.wav	545122	44100	24	1	4.089
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A1_0001.wav	546421	44100	24	1	4.099
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A1_0002.wav	542176	44100	24	1	4.067
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A2.wav	545365	44100	24	1	4.091
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A2_0001.wav	543796	44100	24	1	4.079
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A2_0002.wav	542845	44100	24	1	4.072
Mini From Mars/WAV/3 Stack Bass/Mini_3StackBass_A3.wav	542224	44100	24	1	4.067
